公司名称,披露日期,上市地和板块,披露类型,查看PDF资料
宁波球冠电缆股份有限公司,2018-04-04,上交所,预先披露更新,招股说明书
若宇检具股份有限公司,2018-04-04,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
长飞光纤光缆股份有限公司,2018-04-02,上交所,预先披露更新,招股说明书
普陀山旅游发展股份有限公司,2018-04-02,上交所,预先披露更新,招股说明书
山东潍坊润丰化工股份有限公司,2018-04-02,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
北京流金岁月文化传播股份有限公司,2018-03-30,深交所创业板,预先披露更新,招股说明书
北京华清飞扬网络股份有限公司,2018-03-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
武汉帝尔激光科技股份有限公司,2018-03-30,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳迈瑞生物医疗电子股份有限公司,2018-03-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
杭州天丰电源股份有限公司,2018-03-30,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
武汉锐科光纤激光技术股份有限公司,2018-03-30,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
上海汇得科技股份有限公司,2018-03-29,上交所,预先披露更新,招股说明书
四川德恩精工科技股份有限公司,2018-03-29,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
杭州铁集货运股份有限公司,2018-03-29,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
上海瀚讯信息技术股份有限公司,2018-03-29,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
西安银行股份有限公司,2018-03-29,上交所,预先披露更新,招股说明书
常州通宝光电股份有限公司,2018-03-28,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
中红普林医疗用品股份有限公司,2018-03-28,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
浙江新农化工股份有限公司,2018-03-28,深交所中小板,预先披露更新,招股说明书
红塔证券股份有限公司,2018-03-28,上交所,预先披露更新,招股说明书
浙江泰坦股份有限公司,2018-03-28,上交所,预先披露更新,招股说明书
江苏爱朋医疗科技股份有限公司,2018-03-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
中创物流股份有限公司,2018-03-26,上交所,预先披露更新,招股说明书
厦门纵横集团股份有限公司,2018-03-26,上交所,预先披露更新,招股说明书
广东德兴食品股份有限公司,2018-03-26,上交所,预先披露更新,招股说明书
确成硅化学股份有限公司,2018-03-26,上交所,预先披露更新,招股说明书
北京中视电传传媒广告股份有限公司,2018-03-26,上交所,预先披露更新,招股说明书
江苏卓胜微电子股份有限公司,2018-03-23,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
北京嘉曼服饰股份有限公司,2018-03-23,深交所中小板,预先披露,招股说明书
亳州药都农村商业银行股份有限公司,2018-03-23,上交所,预先披露,招股说明书
江苏利通电子股份有限公司,2018-03-22,上交所,预先披露更新,招股说明书
中信出版集团股份有限公司,2018-03-19,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
海南中和药业股份有限公司,2018-03-19,上交所,预先披露更新,招股说明书
密尔克卫化工供应链服务股份有限公司,2018-03-19,上交所,预先披露更新,招股说明书
浙江芯能光伏科技股份有限公司,2018-03-19,上交所,预先披露更新,招股说明书
广东丸美生物技术股份有限公司,2018-03-19,上交所,预先披露更新,招股说明书
河南平原智能装备股份有限公司,2018-03-19,上交所,预先披露更新,招股说明书
安徽金春无纺布股份有限公司,2018-03-16,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
宁德时代新能源科技股份有限公司,2018-03-12,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
江西金力永磁科技股份有限公司,2018-03-12,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳市铂科新材料股份有限公司,2018-03-12,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深信服科技股份有限公司,2018-03-12,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
彤程新材料集团股份有限公司,2018-03-09,上交所,预先披露更新,招股说明书
北京友缘在线网络科技股份有限公司,2018-03-09,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
新疆交通建设集团股份有限公司,2018-03-09,深交所中小板,预先披露更新,招股说明书
长城证券股份有限公司,2018-03-07,深交所中小板,预先披露更新,招股说明书
佳化化学股份有限公司,2018-03-05,上交所,预先披露更新,招股说明书
深圳市银河表计股份有限公司,2018-03-02,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
明阳智慧能源集团股份公司,2018-03-02,上交所,预先披露,招股说明书
南京证券股份有限公司,2018-03-01,上交所,预先披露更新,招股说明书
锦州康泰润滑油添加剂股份有限公司,2018-03-01,深交所中小板,预先披露更新,招股说明书
阳光中科（福建）能源股份有限公司,2018-03-01,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东申菱环境系统股份有限公司,2018-03-01,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳万达杰环保新材料股份有限公司,2018-03-01,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
迈得医疗工业设备股份有限公司,2018-03-01,上交所,预先披露更新,招股说明书
金华春光橡塑科技股份有限公司,2018-02-27,上交所,预先披露更新,招股说明书
杭州迪普科技股份有限公司,2018-02-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
杭州西子智能停车股份有限公司,2018-02-27,上交所,预先披露更新,招股说明书
国安达股份有限公司,2018-02-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
富士康工业互联网股份有限公司,2018-02-22,上交所,预先披露更新,招股说明书
杭州申昊科技股份有限公司,2018-02-22,深交所创业板,预先披露更新,招股说明书
上海海融食品科技股份有限公司,2018-02-22,深交所创业板,预先披露更新,招股说明书
富士康工业互联网股份有限公司,2018-02-09,上交所,预先披露,招股说明书
仙鹤股份有限公司,2018-02-06,上交所,预先披露更新,招股说明书
无锡药明康德新药开发股份有限公司,2018-02-06,上交所,预先披露更新,招股说明书
北京康辰药业股份有限公司,2018-02-06,上交所,预先披露更新,招股说明书
明珠电气股份有限公司,2018-02-05,深交所中小板,预先披露更新,招股说明书
宁波天益医疗器械股份有限公司,2018-02-05,上交所,预先披露更新,招股说明书
湖南湘佳牧业股份有限公司,2018-02-05,深交所中小板,预先披露更新,招股说明书
湖南和顺石油股份有限公司,2018-02-05,上交所,预先披露更新,招股说明书
气派科技股份有限公司,2018-02-05,深交所中小板,预先披露更新,招股说明书
浙江叁益科技股份有限公司,2018-02-02,上交所,预先披露更新,招股说明书
北京朝歌数码科技股份有限公司,2018-01-31,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东顶固集创家居股份有限公司,2018-01-31,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
北京煜邦电力技术股份有限公司,2018-01-30,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
杭州福膜新材料科技股份有限公司,2018-01-30,上交所,预先披露更新,招股说明书
湖南五新隧道智能装备股份有限公司,2018-01-30,上交所,预先披露更新,招股说明书
美瑞新材料股份有限公司,2018-01-30,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
杭州天元宠物用品股份有限公司,2018-01-30,上交所,预先披露更新,招股说明书
北京新时空科技股份有限公司,2018-01-30,上交所,预先披露更新,招股说明书
中信建投证券股份有限公司,2018-01-30,上交所,预先披露更新,招股说明书
深圳市有方科技股份有限公司,2018-01-30,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
宁波水表股份有限公司,2018-01-26,上交所,预先披露更新,招股说明书
北京盈建科软件股份有限公司,2018-01-26,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
亿嘉和科技股份有限公司,2018-01-26,上交所,预先披露更新,招股说明书
武汉亿童文教股份有限公司,2018-01-26,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
武汉微创光电股份有限公司,2018-01-26,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
安徽大地熊新材料股份有限公司,2018-01-26,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
北京博睿宏远数据科技股份有限公司,2018-01-24,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
兰考瑞华环保电力股份有限公司,2018-01-24,深交所中小板,预先披露更新,招股说明书
郑州天迈科技股份有限公司,2018-01-24,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
北京墨迹风云科技股份有限公司,2018-01-24,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
武汉贝斯特通信集团股份有限公司,2018-01-23,上交所,预先披露更新,招股说明书
江西3L医用制品集团股份有限公司,2018-01-23,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
安徽万朗磁塑股份有限公司,2018-01-23,上交所,预先披露更新,招股说明书
湖北鄂中生态工程股份有限公司,2018-01-23,上交所,预先披露更新,招股说明书
中新网络信息安全股份有限公司,2018-01-23,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
江苏鼎胜新能源材料股份有限公司,2018-01-23,上交所,预先披露更新,招股说明书
北京元六鸿远电子科技股份有限公司,2018-01-23,上交所,预先披露更新,招股说明书
四川天邑康和通信股份有限公司,2018-01-23,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
浙江长城电工科技股份有限公司,2018-01-19,上交所,预先披露更新,招股说明书
协鑫智慧能源股份有限公司,2018-01-19,深交所中小板,预先披露,招股说明书
新疆东方环宇燃气股份有限公司,2018-01-19,上交所,预先披露更新,招股说明书
江苏省新能源开发股份有限公司,2018-01-19,上交所,预先披露更新,招股说明书
烟台招金励福贵金属股份有限公司,2018-01-19,深交所中小板,预先披露更新,招股说明书
上海爱婴室商务服务股份有限公司,2018-01-19,上交所,预先披露更新,招股说明书
国联证券股份有限公司,2018-01-19,上交所,预先披露更新,招股说明书
景津环保股份有限公司,2018-01-17,上交所,预先披露更新,招股说明书
广东凯金新能源科技股份有限公司,2018-01-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
江苏新瀚新材料股份有限公司,2018-01-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
上海漫道金融信息服务股份有限公司,2018-01-17,上交所,预先披露更新,招股说明书
深圳市贝斯达医疗股份有限公司,2018-01-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳市明微电子股份有限公司,2018-01-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
彩讯科技股份有限公司,2018-01-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
上海秦森园林股份有限公司,2018-01-17,上交所,预先披露更新,招股说明书
广东宏川智慧物流股份有限公司,2018-01-16,深交所中小板,预先披露更新,招股说明书
甘李药业股份有限公司,2018-01-16,上交所,预先披露更新,招股说明书
安佑生物科技集团股份有限公司,2018-01-16,上交所,预先披露更新,招股说明书
九圣禾种业股份有限公司,2018-01-16,深交所中小板,预先披露更新,招股说明书
赣州腾远钴业新材料股份有限公司,2018-01-16,深交所中小板,预先披露更新,招股说明书
浙江绍兴瑞丰农村商业银行股份有限公司,2018-01-16,上交所,预先披露更新,招股说明书
江西沃格光电股份有限公司,2018-01-12,上交所,预先披露更新,招股说明书
南通冠东模塑股份有限公司,2018-01-12,上交所,预先披露更新,招股说明书
力同科技股份有限公司,2018-01-12,深交所中小板,预先披露更新,招股说明书
上海梅思泰克环境股份有限公司,2018-01-12,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
江苏紫金农村商业银行股份有限公司,2018-01-12,上交所,预先披露更新,招股说明书
哈尔滨银行股份有限公司,2018-01-10,上交所,预先披露更新,招股说明书
苏州蜗牛数字科技股份有限公司,2018-01-10,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳欣锐科技股份有限公司,2018-01-10,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
河南蓝信科技股份有限公司,2018-01-10,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
青岛农村商业银行股份有限公司,2018-01-10,深交所中小板,预先披露更新,招股说明书
苏州银行股份有限公司,2018-01-10,深交所中小板,预先披露更新,招股说明书
深圳时代装饰股份有限公司,2018-01-09,深交所中小板,预先披露更新,招股说明书
芜湖伯特利汽车安全系统股份有限公司,2018-01-09,上交所,预先披露更新,招股说明书
威海市商业银行股份有限公司,2018-01-09,上交所,预先披露更新,招股说明书
绿色动力环保集团股份有限公司,2018-01-09,上交所,预先披露更新,招股说明书
青岛银行股份有限公司,2018-01-09,深交所中小板,预先披露更新,招股说明书
中海油能源发展股份有限公司,2018-01-05,上交所,预先披露更新,招股说明书
青岛国林环保科技股份有限公司,2018-01-05,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
上海米哈游网络科技股份有限公司,2018-01-05,上交所,预先披露更新,招股说明书
振德医疗用品股份有限公司,2018-01-05,上交所,预先披露更新,招股说明书
重庆农村商业银行股份有限公司,2018-01-05,上交所,预先披露,招股说明书
深圳市美之高科技股份有限公司,2018-01-05,深交所中小板,预先披露更新,招股说明书
长威信息科技发展股份有限公司,2018-01-05,上交所,预先披露更新,招股说明书
沈阳麟龙科技股份有限公司,2018-01-05,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
北京时代凌宇科技股份有限公司,2018-01-05,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
江苏蓝电环保股份有限公司,2018-01-03,上交所,预先披露更新,招股说明书
安徽龙磁科技股份有限公司,2018-01-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
河北润农节水科技股份有限公司,2018-01-03,上交所,预先披露更新,招股说明书
福建省闽华电源股份有限公司,2018-01-03,深交所中小板,预先披露更新,招股说明书
龙岩卓越新能源股份有限公司,2018-01-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳雷杜生命科学股份有限公司,2018-01-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
浙江锋龙电气股份有限公司,2018-01-03,深交所中小板,预先披露更新,招股说明书
天津立中集团股份有限公司,2018-01-03,上交所,预先披露更新,招股说明书
江苏金太阳纺织科技股份有限公司,2018-01-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
成都航天模塑股份有限公司,2018-01-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
小狗电器互联网科技（北京）股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
弘业期货股份有限公司,2017-12-29,深交所中小板,预先披露,招股说明书
中科软科技股份有限公司,2017-12-29,上交所,预先披露,招股说明书
浙江新化化工股份有限公司,2017-12-29,上交所,预先披露,招股说明书
贵州安达科技能源股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江苏神马电力股份有限公司,2017-12-29,上交所,预先披露,招股说明书
上海移远通信技术股份有限公司,2017-12-29,上交所,预先披露,招股说明书
长华化学科技股份有限公司,2017-12-29,上交所,预先披露,招股说明书
深圳市三顺纳米新材料股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
四川福蓉科技股份公司,2017-12-29,上交所,预先披露,招股说明书
上海威派格智慧水务股份有限公司,2017-12-29,上交所,预先披露,招股说明书
南京泉峰汽车精密技术股份有限公司,2017-12-29,上交所,预先披露,招股说明书
长春普华制药股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
南通海星电子股份有限公司,2017-12-29,上交所,预先披露,招股说明书
武汉明德生物科技股份有限公司,2017-12-29,深交所中小板,预先披露更新,招股说明书
苏州赛伍应用技术股份有限公司,2017-12-29,上交所,预先披露,招股说明书
句容宁武新材料股份有限公司,2017-12-29,上交所,预先披露,招股说明书
上海能辉科技股份有限公司,2017-12-29,上交所,预先披露,招股说明书
云南震安减震科技股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江苏锦鸡实业股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
中国卫通集团股份有限公司,2017-12-29,上交所,预先披露,招股说明书
天风证券股份有限公司,2017-12-29,上交所,预先披露更新,招股说明书
江苏通灵电器股份有限公司,2017-12-29,上交所,预先披露,招股说明书
陕西嘉禾生物科技股份有限公司,2017-12-29,上交所,预先披露,招股说明书
新宇药业股份有限公司,2017-12-29,深交所中小板,预先披露,招股说明书
广州信联智通实业股份有限公司,2017-12-29,深交所中小板,预先披露更新,招股说明书
深圳科瑞技术股份有限公司,2017-12-29,深交所中小板,预先披露,招股说明书
科博达技术股份有限公司,2017-12-29,上交所,预先披露,招股说明书
发行人关于公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江苏联瑞新材料股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
建科机械（天津）股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书
北京合力亿捷科技股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
深圳市北鼎晶辉科技股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书
江苏荣成环保科技股份有限公司,2017-12-29,上交所,预先披露,招股说明书
浙江大胜达包装股份有限公司,2017-12-29,上交所,预先披露,招股说明书
宁夏宝丰能源集团股份有限公司,2017-12-29,上交所,预先披露,招股说明书
厦门农村商业银行股份有限公司,2017-12-29,上交所,预先披露,招股说明书
石药集团新诺威制药股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
北京高威科电气技术股份有限公司,2017-12-29,上交所,预先披露更新,招股说明书
北京交大思诺科技股份有限公司,2017-12-29,深交所创业板,预先披露,招股说明书
倍加洁集团股份有限公司,2017-12-29,上交所,预先披露更新,招股说明书
申联生物医药（上海）股份有限公司,2017-12-29,上交所,预先披露更新,招股说明书
汉嘉设计集团股份有限公司,2017-12-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
常州市钱璟康复股份有限公司,2017-12-27,上交所,预先披露更新,招股说明书
湖南盐业股份有限公司,2017-12-27,上交所,预先披露更新,招股说明书
北京左江科技股份有限公司,2017-12-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳华智融科技股份有限公司,2017-12-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
有友食品股份有限公司,2017-12-27,上交所,预先披露更新,招股说明书
上海龙旗科技股份有限公司,2017-12-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东朝阳电子科技股份有限公司,2017-12-27,深交所中小板,预先披露更新,招股说明书
深圳市宝鸿精密模具股份有限公司,2017-12-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
山西紫林醋业股份有限公司,2017-12-27,上交所,预先披露更新,招股说明书
华宝香精股份有限公司,2017-12-26,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
贵州泰永长征技术股份有限公司,2017-12-26,深交所中小板,预先披露更新,招股说明书
广东天元实业集团股份有限公司,2017-12-26,深交所中小板,预先披露更新,招股说明书  、  股本演变情况说明
浙江无端科技股份有限公司,2017-12-26,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
浙江泰林生物技术股份有限公司,2017-12-26,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
润建通信股份有限公司,2017-12-26,深交所中小板,预先披露更新,招股说明书
长虹塑料集团英派瑞塑料股份有限公司,2017-12-22,上交所,预先披露更新,招股说明书
杭州宏杉科技股份有限公司,2017-12-22,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江苏华绿生物科技股份有限公司,2017-12-22,深交所创业板,预先披露,招股说明书
桂林西麦食品股份有限公司,2017-12-22,深交所中小板,预先披露,招股说明书
赫基（中国）集团股份有限公司,2017-12-22,上交所,预先披露,招股说明书
广州建通测绘地理信息技术股份有限公司,2017-12-22,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
科沃斯机器人股份有限公司,2017-12-22,上交所,预先披露更新,招股说明书
广东波斯科技股份有限公司,2017-12-22,上交所,预先披露更新,招股说明书
苏州禾昌聚合材料股份有限公司,2017-12-22,上交所,预先披露更新,招股说明书
浙江恒达新材料股份有限公司,2017-12-22,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东中迅农科股份有限公司,2017-12-22,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江恒威电池股份有限公司,2017-12-22,上交所,预先披露,招股说明书
广东飞轮科技股份有限公司,2017-12-22,深交所中小板,预先披露,招股说明书
深圳市双赢伟业科技股份有限公司,2017-12-22,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
赛克思液压科技股份有限公司,2017-12-22,上交所,预先披露,招股说明书
青岛惠城环保科技股份有限公司,2017-12-22,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
青岛海容商用冷链股份有限公司,2017-12-22,上交所,预先披露更新,招股说明书
温州康宁医院股份有限公司,2017-12-22,上交所,预先披露更新,招股说明书
安徽扬子地板股份有限公司,2017-12-22,深交所中小板,预先披露更新,招股说明书
龙利得智能科技股份有限公司,2017-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
南京越博动力系统股份有限公司,2017-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳市德方纳米科技股份有限公司,2017-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
北京宇信科技集团股份有限公司,2017-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东天禾农资股份有限公司,2017-12-20,深交所中小板,预先披露更新,招股说明书
南京微创医学科技股份有限公司,2017-12-19,上交所,预先披露更新,招股说明书
信利光电股份有限公司,2017-12-19,深交所中小板,预先披露更新,招股说明书
成都天奥电子股份有限公司,2017-12-19,深交所中小板,预先披露更新,招股说明书
上海通领汽车科技股份有限公司,2017-12-19,上交所,预先披露更新,招股说明书
天津七一二通信广播股份有限公司,2017-12-19,上交所,预先披露更新,招股说明书
安徽天大环保新材料股份有限公司,2017-12-15,上交所,预先披露,招股说明书
广东南方新媒体股份有限公司,2017-12-15,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
湖北绿色家园材料技术股份有限公司,2017-12-15,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
北京华如科技股份有限公司,2017-12-15,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
广东松炀再生资源股份有限公司,2017-12-15,上交所,预先披露,招股说明书
四川金时科技股份有限公司,2017-12-15,深交所中小板,预先披露,招股说明书
广东一力集团制药股份有限公司,2017-12-15,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
创美药业股份有限公司,2017-12-15,深交所中小板,预先披露,招股说明书
东瑞食品集团股份有限公司,2017-12-15,深交所中小板,预先披露,招股说明书  、  股本演变情况说明
深圳市鼎泰智能装备股份有限公司,2017-12-15,深交所中小板,预先披露,招股说明书
中国船舶重工集团海装风电股份有限公司,2017-12-15,深交所中小板,预先披露,招股说明书
深圳市杰美特科技股份有限公司,2017-12-15,深交所创业板,预先披露,招股说明书
上海广联环境岩土工程股份有限公司,2017-12-13,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳市安健科技股份有限公司,2017-12-13,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
万兴科技股份有限公司,2017-12-13,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
苏州工业园区凌志软件股份有限公司,2017-12-12,上交所,预先披露更新,招股说明书
河南金丹乳酸科技股份有限公司,2017-12-12,上交所,预先披露更新,招股说明书
长沙银行股份有限公司,2017-12-12,上交所,预先披露更新,招股说明书
苏州金宏气体股份有限公司,2017-12-12,上交所,预先披露更新,招股说明书
浙江捷昌线性驱动科技股份有限公司,2017-12-12,上交所,预先披露更新,招股说明书
常州恐龙园股份有限公司,2017-12-12,上交所,预先披露更新,招股说明书
金瑞期货股份有限公司,2017-12-08,深交所中小板,预先披露,招股说明书
北京声迅电子股份有限公司,2017-12-08,深交所中小板,预先披露,招股说明书
四川菊乐食品股份有限公司,2017-12-08,深交所中小板,预先披露,招股说明书
北京硕人时代科技股份有限公司,2017-12-08,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
南通超达装备股份有限公司,2017-12-08,上交所,预先披露,招股说明书
江苏扬瑞新型材料股份有限公司,2017-12-08,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
广东文灿压铸股份有限公司,2017-12-06,上交所,预先披露更新,招股说明书
深圳市隆利科技股份有限公司,2017-12-06,深交所创业板,预先披露更新,招股说明书
浙江恒强科技股份有限公司,2017-12-06,深交所创业板,预先披露更新,招股说明书
中孚泰文化建筑股份有限公司,2017-12-06,深交所中小板,预先披露更新,招股说明书
深圳明阳电路科技股份有限公司,2017-12-06,深交所创业板,预先披露更新,招股说明书
南京优科生物医药集团股份有限公司,2017-12-06,深交所创业板,预先披露更新,招股说明书
江苏金融租赁股份有限公司,2017-12-05,上交所,预先披露更新,招股说明书
广东碧桂园物业服务股份有限公司,2017-12-05,上交所,预先披露更新,招股说明书
深圳市华阳国际工程设计股份有限公司,2017-12-01,深交所中小板,预先披露,招股说明书
厦门银行股份有限公司,2017-12-01,上交所,预先披露,招股说明书
山东朗进科技股份有限公司,2017-12-01,深交所创业板,预先披露,招股说明书
上海阿莱德实业股份有限公司,2017-12-01,上交所,预先披露,招股说明书
郑州银行股份有限公司,2017-11-29,深交所中小板,预先披露更新,招股说明书
科顺防水科技股份有限公司,2017-11-28,深交所创业板,预先披露更新,招股说明书
福达合金材料股份有限公司,2017-11-28,上交所,预先披露更新,招股说明书
浙江瑞翌新材料科技股份有限公司,2017-11-28,深交所创业板,预先披露更新,招股说明书
嘉友国际物流股份有限公司,2017-11-28,上交所,预先披露更新,招股说明书
南京威尔药业股份有限公司,2017-11-24,上交所,预先披露,招股说明书
奥美医疗用品股份有限公司,2017-11-24,深交所中小板,预先披露,招股说明书
联德精密材料（中国）股份有限公司,2017-11-21,上交所,预先披露更新,招股说明书
广东格林精密部件股份有限公司,2017-11-21,深交所创业板,预先披露更新,招股说明书
重庆广电数字传媒股份有限公司,2017-11-21,深交所创业板,预先披露更新,招股说明书
上海鸿辉光通科技股份有限公司,2017-11-17,上交所,预先披露,招股说明书
武汉智迅创源科技发展股份有限公司,2017-11-17,深交所创业板,预先披露,招股说明书
苏州赛腾精密电子股份有限公司,2017-11-14,上交所,预先披露更新,招股说明书
江苏立华牧业股份有限公司,2017-11-14,深交所创业板,预先披露更新,招股说明书
成都唐源电气股份有限公司,2017-11-10,深交所创业板,预先披露,招股说明书
宁德时代新能源科技股份有限公司,2017-11-10,深交所创业板,预先披露,招股说明书
红星美凯龙家居集团股份有限公司,2017-11-10,上交所,预先披露更新,招股说明书
广东日丰电缆股份有限公司,2017-11-10,深交所中小板,预先披露,招股说明书
深圳市宇驰检测技术股份有限公司,2017-11-10,深交所创业板,预先披露,招股说明书
鹏鼎控股（深圳）股份有限公司,2017-11-10,深交所中小板,预先披露,招股说明书
浙商银行股份有限公司,2017-11-10,上交所,预先披露,招股说明书
上海之江生物科技股份有限公司,2017-11-10,上交所,预先披露,招股说明书
江苏大丰农村商业银行股份有限公司,2017-11-10,深交所中小板,预先披露,招股说明书
深圳中天精装股份有限公司,2017-11-10,深交所中小板,预先披露更新,招股说明书
北京百华悦邦科技股份有限公司,2017-11-08,深交所创业板,预先披露更新,招股说明书
南京聚隆科技股份有限公司,2017-11-08,深交所创业板,预先披露更新,招股说明书
北京挖金客信息科技股份有限公司,2017-11-08,上交所,预先披露更新,招股说明书
华西证券股份有限公司,2017-11-07,深交所中小板,预先披露更新,招股说明书
御家汇股份有限公司,2017-11-07,深交所创业板,预先披露更新,招股说明书
重庆长江造型材料（集团）股份有限公司,2017-11-07,深交所中小板,预先披露更新,招股说明书
厦门盈趣科技股份有限公司,2017-11-07,深交所中小板,预先披露更新,招股说明书
浙江鸿禧能源股份有限公司,2017-11-07,上交所,预先披露更新,招股说明书
宁波锦浪新能源科技股份有限公司,2017-11-03,深交所创业板,预先披露,招股说明书
